id,title,vote_average,vote_count,status,release_date,revenue,runtime,budget,imdb_id,original_language,overview,popularity,genres,production_countries,spoken_languages,cast,director
97239,A Kiss of Chaos,2.5,2,Released,6/27/2009,0,103,0,tt1221895,en,Five minutes of romance before tragedy.,0.84,Drama  Action  Thriller  Crime,United States of America,English,Monique Adam  David Rousseau  Marilou Berry  Tony Harrisson  Valry Schatz,Ricardo Sean Thompson
875172,2020 An Odyssey on the 3rd Left,0,0,Released,6/21/2022,0,15,0,tt13362266,pt,Unusual comedy about women and their marriage troubles.,0.873,Comedy  Adventure  Drama,Portugal,Portugus,English,Ricardo Leite
422187,A Instalao do Medo,10,1,Released,10/22/2016,0,14,0,tt5610054,pt,One of a kind beats everything,0.973,Comedy  Thriller,Portugal,Portugus,Dennis Miller,Ricardo Leite
555797,A Turma do PererDOC,0,0,Released,10/3/2019,0,71,0,tt14935928,pt,English,1.964,Documentary,Brazil,Portugus,Bryan Fox  Travis Rice  Robin Van Gyn  Austen Sweetin,Ricardo Favilla
505581,A Sure Deal,0,0,Released,9/29/2001,0,94,0,tt0255414,es,Documentary by Thomas Heise filmed in East Berlin in 1987/88.,1.127,Drama  Comedy,Chile,Espaol,Heiner Mller  Michael Gwisdek  Ulrich Mhe,Ricardo Carrasco
500451,1976 O Ano da Invaso Corinthiana,10,1,Released,9/29/2016,200000,94,30000,tt6118820,pt,A short thriller directed by Tobias Schmutzler.,0.667,Documentary,Brazil,Portugus,Ralf Legat  Christian Natter  Luisa Wietzorek,Ricardo Aidar
643185,A Wild Patience Has Taken Me Here,5.786,7,Released,10/6/2021,0,26,0,tt15728022,pt,English,2.377,Romance,Brazil,Portugus,English,rica Sarmet
965791,A Difficult Year,6,116,Released,10/18/2023,0,120,0,tt21352380,fr,English,16.78,Comedy,France,Franais,Sithembile Menck  Hanh Mai Thi Tran  Tilla Kratochwil,ric Toledano  Olivier Nakache
38988,5150 Elms Way,6.332,107,Released,10/9/2009,0,110,0,tt1331291,fr,Documentary about the German director Uli Edel,7.769,Drama  Horror  Thriller,Canada,Franais,Uli Edel  Stephen Lang  Bernd Eichinger  Jennifer Jason Leigh  Madonna,ric Tessier
1000572,A Great Friend,6.372,74,Released,2/22/2023,0,95,5950000,tt25971180,fr,Documentary about film projectionists.,8.373,Comedy,France,Franais,Jrg Buttgereit,ric Besnard
1216170,A Sonorous Melody,0,0,Released,8/3/2023,0,24,0,tt30219663,id,English,1.232,Documentary,Indonesia,Bahasa indonesia,English,Riani Singgih
215038,A Man Walks Into a Bar,7.2,4,Released,2/15/2013,0,7,0,tt2628178,en,English,0.84,Comedy,Australia,English,English,Rhys Wakefield  Sophie Lowe
369064,A Baby for Christmas,5.5,4,Released,12/13/2015,0,90,0,tt5170710,en,English,1.108,Family  TV Movie,United States of America,English,Arnaud Stphan  Julie Moreau  Agathe Dronne  Philippe Rebbot,Rhonda Baraka
1030969,A Christmas Spark,6.545,11,Released,11/27/2022,0,85,0,tt21974122,en,English,2.309,TV Movie  Comedy  Drama  Romance,Canada  United States of America,English,Vanja Palmers  Sister Theresia  Raberger  Franz Vollenweider  Dr. Peter Gasser,Rhonda Baraka
459469,25000 Miles to Glory,0,0,Released,3/16/2015,0,93,15000,tt3553354,en,English,0.6,Documentary  Adventure,United States of America,English,Susan O'Gara  Ashlin Miller  Scott Frisbie  Brent Bickhart  Brad Stine,Rhett Grametbauer  G. Eric Carpenter
102851,A Cube of Sugar,7.167,15,Released,10/12/2011,0,116,0,tt1846445,fa,English,3.54,Drama  Comedy  Family,Iran,English,Agata Kulesza  Piotr Najsztub  Julia Pietrucha  Maria Czubaszek,Reza Mirkarimi
378111,A Storks Journey,5.905,132,Released,4/28/2017,14400000,85,0,tt3823116,en,A suicide prevention hotline is not what it seems.,15.452,Family  Fantasy  Adventure  Animation  Comedy,Belgium  Germany  Luxembourg  Norway  United States of America,English,Ian Bell  David Fierro  Carter Hamboussi  Russell Beck,Reza Memari  Toby Genkel
736595,A Thousand Women Like Me,5,1,Released,3/14/2001,0,108,0,tt1720942,fa,English,0.933,Drama,Iran,English,Loraida Bobadilla  Frank Perozo  Johnnie Mercedes  Julietta Rodrguez  Adrin Mas,Reza Karimi
1046213,A Childless Village,0,0,Released,11/20/2022,0,81,0,tt23143220,az,English,1.4,Drama  Comedy,Iran,English,Dick Kuchera,Reza Jamali
577023,A Gold Star Kid,8.5,2,Released,5/17/2017,0,13,0,tt6661312,en,English,0.6,Drama,United States of America,English,Elsie Fisher  Miranda Cosgrove  Dana Gaier  Rob Huebel  Pierre Coffin,Reshan Fernando
81766,32 December Love Error,5.6,5,Released,12/29/2009,0,90,0,tt1893188,th,English,0.803,Comedy  Romance,Thailand,English,Andreas Seifert  Lothar Frster,Rerkchai Paungpetch
38958,700 Days of Battle Us vs the Police,6.769,13,Released,4/5/2008,0,110,0,tt1155630,ja,We only understand some behaviour when we duplicate them involuntarily.,6.185,Comedy,Japan,English,Leonor Ribeiro  Margarida Carvalho  Joo Seabra  Beatriz Martins,Renpei Tsukamoto
67358,4 Black Suits,4.917,12,Released,3/25/2010,0,90,0,tt1599913,el,English,2.265,Comedy,Greece,English,Samuel Reayah,Renos Haralambidis
17134,12 Rounds,5.891,727,Released,3/19/2009,17280326,108,22000000,tt1160368,en,English,16.943,Action  Thriller  Crime,United States of America,English,Minori Matsuoka,Renny Harlin
50601,5 Days of War,5.61,181,Released,4/14/2011,87793,113,20000000,tt1486193,en,A Michael Ruocco Cartoon,13.628,War  Drama,United States of America,English,Joshua Tomar  Chris Zito,Renny Harlin
20175,7 Mujeres 1 Homosexual y Carlos,4.8,6,Released,6/11/2004,0,92,1000000,tt0395429,es,English,1.723,Drama  Comedy  Romance,Mexico,Espaol,Javier Server  Fernando Cayo  Ramn Quesada  Ricardo Reguera,Rene Bueno
67257,A Night in 67,6.8,8,Released,7/30/2010,0,85,0,tt1754803,pt,A man contemplates suicide and gets hallucination from garlic.,0.952,Documentary  Music  History,Brazil,Portugus,Henrik Mller,Renato Terra  Ricardo Calil
797998,12 Currencies,5,2,Released,11/6/2020,0,82,0,tt13437368,pt,English,0.601,Documentary,Brazil,Portugus,Sharinna Allan,Renato Rossi
544381,A Thread of Hope Independence,0,0,Released,6/6/2017,0,94,0,tt9678524,pt,Following of the Detective Katherine shown on September 2015.,0.6,Documentary,Brazil,English,Charlotte Kate Fox  Takashi Ukaji  Shosuke Tanihara  Tomoka Kurokawa,Renatho Costa  Rodrigo Duque Estrada
788820,Abjetas 288,10,1,Released,1/23/2021,0,20,0,tt14354586,pt,Planet B - Edition No. 3,1.949,Science Fiction,Brazil,Portugus,English,Renata Mouro  Julia da Costa
734164,7 Years of Lukas Graham,5.5,6,Released,11/5/2020,0,78,0,tt13269558,en,English,1.982,Documentary  Music,Denmark,Dansk English,Jillian Swanson  Alexandra Cipolla  William DeCoff  Kevin Cirone,Ren Sascha Johannsen
521871,A or B,5.9,11,Released,4/28/2018,0,110,0,tt8366766,zh,English,2.673,Drama  Mystery  Crime,China,English,Mi-Jeong Ryu  Yi-Hyun Hong  Ye-Eun Yun,Ren Pengyuan
465277,12 Points,6,5,Released,5/1/2015,0,13,0,tt4666582,de,English,1.476,Drama,Austria,English Deutsch,Kaito Yoshimura  Ito Ohno  Nina Endo  Goki Maeda  Yorie Yamashita,Ren Kmet
396643,A Flying Jatt,3.1,33,Released,8/25/2016,0,151,0,tt5235880,hi,Srdjan Dincic's stand-up comedy show.,6.398,Fantasy  Action  Adventure,India,English,English,Remo D'Souza
157293,ABCD,5.875,48,Released,2/7/2013,222000,136,0,tt2321163,hi,English,8.575,Drama,India,English,Victoria Grove  Anne-Sophie Marie,Remo D'Souza
336790,ABCD 2,5.582,73,Released,6/19/2015,892000,154,0,tt3679000,hi,English,10.875,Drama,India  United States of America,English,Deepraj Rana  Sonal Singh  Akshay Yadav  Rozlyn Khan  Sanjay Mishra,Remo D'Souza
1218152,409  Please Make Up My Room,0,0,Released,12/15/2023,0,30,0,tt27951226,fi,Short movie with Milena Smit and Romn Reyes.,0.865,Drama,Finland,suomi svenska,Romn Reyes  Milena Smit,Reeta Annala
395796,A Different Sun,5.8,4,Released,6/1/2017,0,89,0,tt4955992,en,English,3.031,Drama,United States of America,English,Mark Williams Thomas,Reed Tang
488434,Abacus My Love,0,0,Released,5/14/2014,0,17,0,tt3694764,en,English,1.1,Fantasy  Family,Canada,Franais English,Georges Moufarej  Perla Joe Maalouli  Joumana Haddad,Rebeccah Love
609820,A Hand Sewn Star,0,0,Released,10/13/2018,0,9,0,tt8706602,fr,English,0.898,Drama,France,Franais,Shawn Yue  Charlene Choi  Hin-Wai Au  Isabella Leong,Rebecca Wengrow
369912,A Night of Horror Volume 1,5.258,31,Released,11/26/2015,0,87,0,tt4586114,en,A restaurant owner leads a double life.,4.624,Thriller  Horror,Australia,English,English,Rebecca Thomson  Nicholas Colla  Enzo Tedeschi  
464329,7 from Etheria,5.333,9,Released,1/27/2017,0,95,0,tt7073518,en,English,3.028,Horror,United States of America,English,Travis Wilkerson,Rebecca Thomson  Martha Goddard  Anna Elizabet
157114,A Man Like Me,6.75,8,Released,8/16/2002,0,90,0,tt0323177,en,English,1.485,Comedy  Romance,Hong Kong  Iceland,English slenska,Joey Bicicchi,Rbert I. Douglas
366086,666 sq ft,8.5,1,Released,10/28/2015,0,4,0,tt4612300,en,English,1.4,Horror,United States of America,English,English,Ray Zablocki
13010,911 Press For Truth,7.6,13,Released,9/5/2006,0,85,0,tt0867134,en,An Eldar Bogunov drama short.,1.667,Documentary,United States of America,English,Eldar Bogunov  Krolik Black,Ray Nowosielski
13670,A Crude Awakening,7.2,25,Released,3/1/2006,0,85,0,tt0776794,en,An Eldar Bogunov drama short.,2.362,Documentary,Switzerland,English,Fendi  Tatiana Boyko,Ray McCormack  Basil Gelpke
1187984,A Christmas Reckoning,0,0,Released,11/14/2023,0,61,0,tt15359558,en,An Eldar Bogunov drama short.,1.193,Comedy  Drama,United States of America,English,Liana Pchibieva  Eldar Bogunov,Ray Martin
608388,7 Reasons,1,3,Released,5/19/2019,0,43,0,tt27669473,en,documentary,1.009,Documentary  Fantasy,United States of America,English,Pope Benedict XVI,Ray Comfort
1213811,Aayiram Porkaasugal,0,0,Released,12/22/2023,0,125,0,tt10360834,ta,English,1.558,Comedy  Romance  Drama,India,English,Martin Muliar  Konstanze Dutzi  Jrgen Heimller  Boris Popovic  Christine Klein,Ravi Murukaya
551024,27 Steps of May,8.3,8,Released,4/27/2019,0,112,0,tt9695156,id,Franz Josef Gottlieb's last movie.,4.322,Drama,Indonesia,Bahasa indonesia,English,Ravi L. Bharwani
258665,A Prayer for Rain,6.25,22,Released,12/5/2014,0,103,0,tt0839742,en,A thriller directed by Christian Genzel.,5.333,History  Drama,India  United Kingdom,English,Peter O. Kellerer  Jean-Luc Julien  Thomas Limpinsel  Henriette Mller,Ravi Kumar
377880,100 Love,5.6,5,Released,1/20/2012,0,166,0,tt2579680,bn,English,2.056,Family  Romance  Drama  Comedy,India,English,English,Ravi Kinagi
659381,Aaviri,7,2,Released,11/1/2019,0,113,0,tt10081210,te,Documentary about the Kommissar X Series.,1.965,Drama  Thriller,India,English,Brad Harris  Gianfranco Parolini  Harald Blixen  Tony Kendall,Ravi Babu
736574,A Guide to Breathing Underwater,0,0,Released,10/1/2018,0,7,0,tt12298960,en,"Story of a photographer searching for the """"perfect photo"""".",0.6,Music  Documentary,United States of America,English,Matteo Ghisalberti  Giorgio Melazzi  Raffaella Zappal,Raven Jackson
661345,A Song Often Played on the Radio,0,0,Released,10/25/2019,0,23,0,tt10567216,en,Documentary on the disappearance of a French journalist.,0.706,Western,United States of America,English Espaol,Philippe de Dieuleveult,Raven Chacon  Cristobal Martinez
44957,10000 AD The Legend of the Black Pearl,1.5,2,Released,9/25/2008,0,84,500000,tt1299347,en,English,0.6,Adventure  Action  Science Fiction,United States of America,English Deutsch,Park Ye-jin  Choi Sang-hak  Park Kwang-hyun  Jo Hyung-ki  Kwon Yong-woon,Raul Gasteazoro  Giovanni Messner
553869,Aadai,6,10,Released,7/19/2019,0,143,0,tt8944398,ta,English,3.214,Thriller,India,English,Fred Dibnah,Rathna Kumar
188532,A Strange Course Of Events,5.3,7,Released,12/4/2013,0,98,0,tt2901690,he,One of my dreams is to organize my own funeral.,1.346,Drama,Israel  France,English,Sorayos Prapapan,Raphal Nadjari
337656,A Viagem de Yoani,5.7,3,Released,10/18/2014,0,73,0,tt4084566,pt,English,1.184,Documentary,Brazil,Portugus Espaol,Dilruk Jayasinha,Raphael Bottino  Peppe Siffredi
296646,A Culture of Silence,0,0,Released,1/1/2013,0,84,0,tt3450326,en,English,0.6,Documentary,United States of America,English,Wen-Wen Yang  Kuan-Yi Li,Raouf J Jacob
554205,A Cool Fish,6.8,64,Released,11/15/2018,0,108,0,tt9282616,zh,A couple watches a bank robbery live on TV.,11.916,Comedy  Thriller  Crime,China,English,Joo Baptista  Maria Joo Lus  Rogrio Samora  Slvia Filipe,Rao Xiaozhi
1204425,A Roommate To Die For,4,1,Released,11/12/2023,0,90,0,tt29381486,en,English,2.86,Drama  Crime  Thriller  TV Movie,United States of America,English,Chico Diaz,Randy Carter
256422,2BPerfectlyHonest,4.5,4,Released,5/2/2004,0,88,0,tt0364914,es,Some things must die to live.,3.634,Comedy  Drama,United States of America,English,Segun Akande,Randel Cole
620492,A Riddle of Steel The Definitive ,8.5,2,Released,8/31/2019,0,134,700000,tt5909216,en,Notodofilmfest short.,1.411,Documentary,Canada,English,Rodrigo Corts,Randall Lobb
219706,19 Months,2,1,Released,5/21/2004,0,77,0,tt0337797,en,English,0.761,Comedy  Romance,Canada,English,Richard E. Grant,Randall Cole
73943,388 Arletta Avenue,4.932,44,Released,9/11/2011,0,87,0,tt1767272,en,A girl who is not happy with her life.,6.963,Thriller  Horror,Canada,English,Farida Eyvazova,Randall Cole
